_id,packageName,sourceDir,title,subtitle,description,websiteUrl,type,createdAt,updatedAt
ObjectId(58a795265fbc457423b174c9),com.pinsightmediaplus.advertising,com/pinsightmediaplus/advertising,Pinsight Media,,,http://www.pinsightmediaplus.com/,ADVERTISEMENT,2017-02-18T00:16:35.969Z,2017-02-18T00:16:35.969Z
ObjectId(58a795265fbc457423b174cb),com.microeyes.admob,com/microeyes/admob,Admob (repackaged by Microeyes),,,,ADVERTISEMENT,2017-02-18T00:16:35.970Z,2017-02-18T00:16:35.970Z
ObjectId(58a795265fbc457423b174cc),jp.adlantis,jp/adlantis,Adlantis,,,https://sp.www.adlantis.jp/,ADVERTISEMENT,2017-02-18T00:16:35.971Z,2017-02-18T00:16:35.971Z
ObjectId(58a795275fbc457423b174cd),com.voxel,com/voxel,Voxel,,,http://www.voxel.com/,ADVERTISEMENT,2017-02-18T00:16:35.972Z,2017-02-18T00:16:35.972Z
ObjectId(58a795275fbc457423b174cf),com.massiveimpact,com/massiveimpact,Massive Impact,,,http://www.massiveimpact.com/,ADVERTISEMENT,2017-02-18T00:16:35.974Z,2017-02-18T00:16:35.974Z
ObjectId(58a795275fbc457423b174d0),com.widespace,com/widespace,Widespace,,,http://www.widespace.com/de/,ADVERTISEMENT,2017-02-18T00:16:35.975Z,2017-02-18T00:16:35.975Z
ObjectId(58a795285fbc457423b174d2),vpoint.ads.obj,vpoint/ads/obj,Vpoint Ads,,,,ADVERTISEMENT,2017-02-18T00:16:35.976Z,2017-02-18T00:16:35.976Z
ObjectId(58a795285fbc457423b174d3),com.adswizz.phantom,com/adswizz/phantom,AdSwizz Phantom,,,http://www.adswizz.com/,ADVERTISEMENT,2017-02-18T00:16:35.977Z,2017-02-18T00:16:35.977Z
ObjectId(58a795285fbc457423b174d4),com.millennialmedia,com/millennialmedia,Millennialmedia,,,http://www.millennialmedia.com/,ADVERTISEMENT,2017-02-18T00:16:35.977Z,2017-02-18T00:16:35.977Z
ObjectId(58a795295fbc457423b174d5),com.appma.ad,com/appma/ad,Appma,,,,ADVERTISEMENT,2017-02-18T00:16:35.977Z,2017-02-18T00:16:35.977Z
ObjectId(58a795295fbc457423b174d6),com.tokenads.sdk,com/tokenads/sdk,Tokenads - Woobi,,,http://woobi.com/,ADVERTISEMENT,2017-02-18T00:16:35.978Z,2017-02-18T00:16:35.978Z
ObjectId(58a795295fbc457423b174d8),com.igaworks.AdPOPcornTracerSDK,com/igaworks/AdPOPcornTracerSDK,AdPOPcornTracerSDK (Virus Warning),,,,ADVERTISEMENT,2017-02-18T00:16:35.980Z,2017-02-18T00:16:35.980Z
ObjectId(58a7952a5fbc457423b174d9),com.vervewireless.advert,com/vervewireless/advert,Verve Mobile,,,http://www.vervemobile.com/,ADVERTISEMENT,2017-02-18T00:16:35.980Z,2017-02-18T00:16:35.980Z
ObjectId(58a7952a5fbc457423b174da),com.jumptap.adtag,com/jumptap/adtag,Jumptap AdTag,,,http://www.jumptap.com,ADVERTISEMENT,2017-02-18T00:16:35.981Z,2017-02-18T00:16:35.981Z
ObjectId(58a7952a5fbc457423b174db),com.tapifier.admob,com/tapifier/admob,Admob (repackaged by Tapifier),,,,ADVERTISEMENT,2017-02-18T00:16:35.981Z,2017-02-18T00:16:35.981Z
ObjectId(58a7952a5fbc457423b174dc),com.ad2play,com/ad2play,Ad2Play,,,,ADVERTISEMENT,2017-02-18T00:16:35.982Z,2017-02-18T00:16:35.982Z
ObjectId(58a7952b5fbc457423b174dd),com.acerolamob,com/acerolamob,Acerola Mobile,,,https://acerolamob.com/,ADVERTISEMENT,2017-02-18T00:16:35.982Z,2017-02-18T00:16:35.982Z
ObjectId(58a7952b5fbc457423b174de),com.webtrends.mobile,com/webtrends/mobile,Webtrends,,,https://www.webtrends.com/?dcsref=www.webtrends.de&dcssta=301,ADVERTISEMENT,2017-02-18T00:16:35.983Z,2017-02-18T00:16:35.983Z
ObjectId(58a7952c5fbc457423b174df),com.mobcent.ad,com/mobcent/ad,Mobcent,,,http://www.mobcent.com,ADVERTISEMENT,2017-02-18T00:16:35.983Z,2017-02-18T00:16:35.983Z
ObjectId(58a7952c5fbc457423b174e0),com.hiiir,com/hiiir,hiiir,,,,ADVERTISEMENT,2017-02-18T00:16:35.984Z,2017-02-18T00:16:35.984Z
